"","SW","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",23,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",24,12,1,20,375,12,1,0,22,6,0,0,0,0,0,0,0,0,0,689,2,44,10,0,140,38,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,106
"4",25,101,75,455,4987,40,0,214,476,44,72,3,0,0,302,686,0,111,60,5802,839,305,53,75,433,152,0,78,467,533,0,0,0,0,0,0,7432,168,458,1754,444,1976,0,0,865
"5",26,1066,323,1865,6187,297,433,305,1302,698,887,4,956,947,1441,7,4,88,59,10690,3615,901,1016,1745,3501,2146,0,2895,2895,1237,1578,0,0,1312,0,3249,9101,1488,1893,1987,4312,3675,9008,3121,2654
"6",27,1311,1105,533,3857,237,944,572,8622,6930,1152,1,532,1248,5436,98,2,1777,2015,7845,1610,1600,1653,3557,5060,857,7188,7013,7157,1725,618,0,2654,206,0,3429,15753,2015,2790,5306,7474,6966,2808,3912,3035
"7",28,3398,5892,1510,9200,70,2437,773,2751,2081,3560,360,605,11144,623,1317,602,2197,496,2295,4353,1971,1762,4267,7561,2792,17,6175,5877,5690,248,6930,1354,1441,6802,720,2325,4217,3745,4618,5625,6236,2185,4588,5210
"8",29,2836,1164,4405,1883,476,1140,207,11816,8576,4355,687,461,15284,3280,1141,139,5801,9,8126,9567,503,6529,3552,2013,7190,2487,2994,6283,4920,2173,5129,2450,2265,262,1900,14586,3969,3349,7688,8525,5100,6711,1973,4269
"9",30,2237,2232,2687,2511,1172,2055,542,1310,4068,4575,1444,2515,8935,6011,334,20,2542,723,15810,2380,2812,5034,7615,257,512,3924,2181,4064,2806,2603,8423,1886,2578,428,1284,15278,5236,4572,6429,6771,1643,4900,3160,6960
"10",31,1704,2673,679,4452,1783,2816,711,1814,1413,2100,320,1743,10750,929,812,24,1,1969,3161,1449,2234,2263,5336,2616,4560,11296,715,6481,4209,3343,6505,3240,3808,454,2227,4042,4344,3465,6534,2957,2108,8364,2505,5871
"11",32,1794,1588,2761,3006,554,310,1184,40,2056,2100,218,3496,6765,141,2027,1,123,1965,4340,1925,3724,3579,6490,1857,3058,5871,228,2312,2629,1434,2854,2396,3952,260,2633,8243,2576,5605,7792,8264,2319,8425,4908,5960
"12",33,1496,682,3324,5567,1672,2740,725,1078,5895,2100,2179,509,4254,2971,157,3,1776,200,11,380,1821,1197,15537,75,3997,2866,113,3553,452,3071,6069,25,5070,2206,1852,10786,2669,4456,7091,7980,70,8934,1783,10555
"13",34,797,2786,2229,5939,221,9810,968,1634,7287,5666,19,4073,5589,1417,1555,138,1875,566,3207,2948,4295,5768,6643,1088,5380,3835,763,3045,217,0,2480,708,3103,1337,2265,3418,2024,3435,10259,13070,1367,6398,4600,5679
"14",35,1063,1860,2045,13801,6570,4283,1269,1246,11212,6910,1622,5151,1433,14899,4430,736,6193,280,7582,7167,10732,10357,23593,3132,10383,5907,1890,2101,2316,2508,3728,1051,3476,1490,4986,3672,5587,955,7828,7632,3372,8835,9210,3298
"15",36,2481,2412,3734,1965,12933,6799,18711,5670,3639,10351,22153,1575,5475,18015,3201,1006,1644,469,8379,9647,5380,13172,19677,14921,3587,9216,8268,1772,4577,121,5006,1837,1461,1801,10659,4403,7291,6785,10995,11963,4663,28924,9227,1916
"16",37,1083,8687,8576,17719,368,17483,8664,6106,19464,29613,1050,6091,10526,18512,3372,5364,27,8059,15019,259,2260,6014,1251,18465,383,6264,5688,3204,6333,3873,11727,1572,5303,1224,5323,8614,3119,919,13701,4062,3527,9065,14123,19022
"17",38,6326,1110,9390,5,859,9655,144,7747,12,10739,868,20378,21097,21106,12639,6943,259,2254,34155,712,3264,8779,61222,9489,9322,15346,3539,206,10636,17705,9520,2673,3095,3330,3758,4600,3566,5216,10942,4741,3201,7070,2955,6647
"18",39,5316,11111,4122,3000,1732,5584,5821,9469,2353,7015,21105,25516,9455,17510,17688,3796,18043,2747,2713,4465,1873,20121,32323,204,1086,4332,1691,261,11982,8393,7080,3094,1039,4039,11334,4036,3039,4586,3588,8878,6069,28016,7255,2819
